Estado,Usuario_agencia_estatal,Usuario_municipal?,Fecha,Mes,Dia,Ano,Factura no.,Marca,Pais_origen_empresa,No_piezas,Costo_Pesos_Mex,Calibre,Semi_auto_auto_n_a,Tipo,Comentario
Aguascalientes,,,1/5/2006,5,1,2006,848,Beretta,Italia,446,"2,459,093",9mm,n.a.,Pistola,
Aguascalientes,,,1/5/2006,5,1,2006,848,Mendoza,México,196,"1,431,199",9mm,n.a.,Submetralleta,
Aguascalientes,,,1/5/2006,5,1,2006,848,Mendoza,México,4,0,9mm,n.a.,Submetralleta,
Aguascalientes,,,1/5/2006,5,1,2006,848,Mossberg,Estados Unidos,10,"25,047",12 G.A.,n.a.,Escopeta de bomba,
Aguascalientes,,,1/5/2006,5,1,2006,848,Sako,Finlandia,2,"138,676",".308"" win",n.a.,Fusil sniper,
Aguascalientes,,,1/5/2006,5,1,2006,848,Smith & Wesson,Estados Unidos,12,"59,594",".38""",n.a.,Revolver,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Beretta,Italia,446,"2,468,093",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Mendoza,México,196,"1,431,199",9mm,n.a.,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Mendoza,México,4,0,9mm,n.a.,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Mossberg,Estados Unidos,10,"25,047",12 G.A.,n.a.,Escopeta de bomba,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Sako,Finlandia,2,"138,676",".308"" win",n.a.,Fusil sniper,
Aguascalientes,Secretaría de Seguridad Pública,,26/8/2006,8,26,2006,1066,Smith & Wesson,Estados Unidos,12,"59,594",".38""",n.a.,Revolver,
Aguascalientes,Procuraduría General de Justicia,,26/12/2006,12,26,2006,1278,Glock,Austria,60,"341,439",9mm,n.a.,Pistola,
Aguascalientes,Procuraduría General de Justicia,,26/12/2006,12,26,2006,1278,Heckler & Koch,Alemania,100,"1,651,656",5.56mm,Semi-auto,Fusil,
Aguascalientes,Secretaría de Seguridad Pública,,28/12/2006,12,28,2006,1276,Mendoza,México,47,"339,028",9mm,n.a.,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Beretta,Italia,19,"118,264",9mm,n.a.,Pistola,factura no todo legible
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Beretta,Italia,5,"33,111",9mm,Semi-auto,Pistola,factura no todo legible
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Bushmaster,EUA,126,"1,656,860",5.56mm,Semi-auto,Carabina,factura no todo legible
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Colt,Estados Unidos,43,"687,357",".223"" rem",Semi-auto,Carabina,factura no todo legible
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Glock,Austria,360,"2,076,651",9mm,n.a.,Pistola,factura no todo legible
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Mossberg,US,108,"269,537",12 G.A.,n.a.,Escopeta,factura no todo legible
Aguascalientes,Secretaría de Seguridad Pública,,26/4/2007,4,26,2007,1400,Smith & Wesson,Estados Unidos,5,"29,676",".38""",n.a.,Revolver,factura no todo legible
Aguascalientes,Procuraduría General de Justicia,,28/6/2007,6,28,2007,1476,Glock,Austria,50,"285,830",9mm,n.a.,Pistola,
Aguascalientes,Procuraduría General de Justicia,,28/6/2007,6,28,2007,1476,Heckler & Koch,Alemania,60,"1,015,563",5.56mm,Semi-auto,Fusil,
Aguascalientes,Procuraduría General de Justicia,,22/4/2009,4,22,2009,2762,Sako,Finlandia,2,"144,536",".308"" win",n.a.,Rifle tactico,scan cut off top half of first line. calibre ilegible
Aguascalientes,Procuraduría General de Justicia,,22/4/2009,4,22,2009,2762,DPMS,EE. UU,26,"754,797",7.62mm,n.a.,Carabina,
Aguascalientes,Procuraduría General de Justicia,,22/4/2009,4,22,2009,2762,Glock,Austria,50,"392,432",".40""",n.a.,Pistola,
Aguascalientes,Procuraduría General de Justicia,,22/4/2009,4,22,2009,2762,Mossberg,Estados Unidos,2,"6,817",12 G.A.,n.a.,Escopeta,
Aguascalientes,Secretaría de Seguridad Pública,,30/6/2009,6,30,2009,3038,FN Herstal,Bélgica,21,"976,885",5.56mm,Automática,Fusil,
Aguascalientes,Secretaría de Seguridad Pública,,30/6/2009,6,30,2009,3038,FN Herstal,Bélgica,8,"775,681",5.56mm,n.a.,Metralleta,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3202,Heckler & Koch,Alemania,52,"1,115,573",5.56mm,Automática,Fusil,"handwritten note: ""cancelado, nota credito 3404"""
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3203,Beretta,Italia,247,"1,909,992",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3202,Bushmaster,Estados Unidos,11,"212,612",".223"" rem",Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3202,Colt,EUA,2,"46,510",5.56mm,Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3202,Combined Systems,Estados Unidos,2,"13,201",,n.a.,Lanzador,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3202,FN Herstal,Bélgica,2,"193,714",5.56mm,n.a.,Metralleta,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3203,FN Herstal,Bélgica,100,"954,791",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3203,Heckler & Koch,Alemania,4,"115,989",9mm,Semi-auto,Pistola ametralladora,
Aguascalientes,Secretaría de Seguridad Pública,,14/8/2009,8,14,2009,3203,Sako,Finlandia,2,"190,768",".308"" win",n.a.,Fusil sniper,
Aguascalientes,Secretaría de Seguridad Pública,,20/8/2009,8,20,2009,3217,Mendoza,México,145,"1,311,924",9mm,Automática,Submetralleta,
Aguascalientes,Secretaría de Seguridad Pública,,20/8/2009,8,20,2009,3217,Mendoza,México,100,"904,775",9mm,Automática,Submetralleta,
Aguascalientes,Procuraduría General de Justicia,,1/9/2009,9,1,2009,3266,Beretta,Italia,50,"398,520",".40""",Semi-auto,Pistola,
Aguascalientes,Procuraduría General de Justicia,,1/9/2009,9,1,2009,3266,DSA,Estados Unidos,26,"749,881",7.62mm,Semi-auto,Fusil,
Aguascalientes,Procuraduría General de Justicia,,1/9/2009,9,1,2009,3266,Mossberg,Estados Unidos,2,"6,817",12 G.A.,n.a.,Escopeta,
Aguascalientes,Procuraduría General de Justicia,,1/9/2009,9,1,2009,3266,Sako,Finlandia,2,"144,536",".308"" win",n.a.,Rifle tactico,
Aguascalientes,Secretaría de Seguridad Pública,,18/9/2009,9,18,2009,3322,Beretta,Italia,89,"684,202",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,27/9/2010,9,27,2010,4787,Colt,Estados Unidos,53,"1,180,626",5.56mm,Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,27/9/2010,9,27,2010,4788,Colt,Estados Unidos,11,"245,035",5.56mm,Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,27/9/2010,9,27,2010,4787,Combined Systems,Estados Unidos,1,"6,006",,n.a.,Lanzador,
Aguascalientes,Procuraduría General de Justicia,,7/12/2010,12,7,2010,5214,DSA,Estados Unidos,26,"640,077",7.62mm,Automática,Fusil,
Aguascalientes,,,8/3/2011,3,8,2011,5797,FN Herstal,Bélgica,1,"133,525",5.56mm,n.a.,Metralleta,
Aguascalientes,Secretaría de Seguridad Pública,,20/9/2011,9,20,2011,533,Beretta,Italia,60,"441,579",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,543,Mossberg,Estados Unidos,22,"61,908",12 G.A.,n.a.,Escopeta,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,534,Beretta,Italia,94,"691,807",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,535,Beretta,Italia,10,"73,596",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,536,Beretta,Italia,137,"3,627,246",5.56mm,Automática,Fusil,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,537,Beretta,Italia,10,"73,596",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,538,Beretta,Italia,5,"36,798",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,539,Beretta,Italia,10,"73,596",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,542,FN Herstal,Bélgica,2,"251,109",5.56mm,n.a.,Metralleta,
Aguascalientes,Secretaría de Seguridad Pública,,26/9/2011,9,26,2011,536,Glock,Austria,200,"1,358,287",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,28/9/2011,9,28,2011,541,Beretta,Italia,10,"73,596",9mm,n.a.,Pistola,
Aguascalientes,Secretaría de Seguridad Pública,,20/3/2012,3,20,2012,1709,Colt,Estados Unidos,10,"219,511",5.56mm,Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,20/3/2012,3,20,2012,1710,Colt,Estados Unidos,12,"263,414",5.56mm,Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,20/3/2012,3,20,2012,1711,Colt,Estados Unidos,14,"307,316",5.56mm,Automática,Carabina,
Aguascalientes,Secretaría de Seguridad Pública,,20/3/2012,3,20,2012,1712,Colt,Estados Unidos,5,"109,755",5.56mm,Automática,Carabina,
Aguascalientes,secretaría de Seguridad Pública,,20/3/2012,3,20,2012,1713,Colt,Estados Unidos,25,"548,779",5.56mm,Automática,Carabina,
Aguascalientes,,,11/5/2012,5,11,2012,1757,Colt,Estados Unidos,34,"746,339",5.56mm,Automática,Carabina,
Aguascalientes,,,11/5/2012,5,11,2012,1758,Colt,Estados Unidos,36,"790,242",5.56mm,Automática,Carabina,
Aguascalientes,secretaría de Seguridad Pública,,18/6/2012,6,18,2012,3459,Combined Systems,Estados Unidos,10,"357,526",,n.a.,Lanzador,
Aguascalientes,,,24/5/2013,5,24,2013,18366,Beretta,Italia,9,"218,434",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18356,Beretta,Italia,24,"154,115",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18356,Beretta,Italia,6,"145,622",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18357,Beretta,Italia,11,"75,220",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18357,Beretta,Italia,7,"169,893",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18358,Beretta,Italia,21,"143,601",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18358,Beretta,Italia,12,"291,245",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18359,Beretta,Italia,23,"157,278",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18359,Beretta,Italia,30,"728,113",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18360,Beretta,Italia,10,"68,381",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18360,Beretta,Italia,13,"315,516",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18361,Beretta,Italia,30,"205,145",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18361,Beretta,Italia,10,"242,704",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18362,Beretta,Italia,60,"410,291",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18362,Beretta,Italia,33,"800,925",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18363,Beretta,Italia,16,"109,411",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18363,Beretta,Italia,11,"266,975",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18364,Beretta,Italia,87,"594,922",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18364,Beretta,Italia,200,"4,854,092",5.56mm,Automática,Rifle,
Aguascalientes,,,24/5/2013,5,24,2013,18365,Beretta,Italia,5,"34,191",9mm,Semi-auto,Pistola,
Aguascalientes,,,24/5/2013,5,24,2013,18365,Beretta,Italia,9,"218,434",5.56mm,Automática,Rifle,
Aguascalientes,,,12/7/2013,7,12,2013,18674,Beretta,Italia,20,"136,763",9mm,Semi-auto,Pistola,
Aguascalientes,,,12/7/2013,7,12,2013,18675,Beretta,Italia,133,"909,478",9mm,Semi-auto,Pistola,
Aguascalientes,,,12/7/2013,7,12,2013,18676,Beretta,Italia,2,"13,676",9mm,Semi-auto,Pistola,
Aguascalientes,,,4/11/2013,11,4,2013,19262,Beretta,Italia,133,"909,479",9mm,Semi-auto,Pistola,
Aguascalientes,,,4/11/2013,11,4,2013,19263,Beretta,Italia,23,"157,165",9mm,Semi-auto,Pistola,
Aguascalientes,Direccion General de Reinsercion Social,,31/12/2013,12,31,2013,19445,Beretta,Italia,67,"478,639",9mm,Semi-auto,Pistola,pieza no todo legible
Aguascalientes,Direccion General de Reinsercion Social,,31/12/2013,12,31,2013,19445,Beretta,Italia,68,"1,521,328",5.56mm,Automática,Rifle,"pieza no todo legible, calibre no legible"
Aguascalientes,Direccion General de Seguridad Publica y Vialidad ,,31/12/2013,12,31,2013,19443,Beretta,Italia,31,"786,018",5.56mm,Automática,Rifle,"piezas, calibre illegible"
Aguascalientes,Direccion General de Seguridad Publica y Vialidad ,,31/12/2013,12,31,2013,19443,Beretta,Italia,43,"307,186",9mm,Semi-auto,Pistola,
Aguascalientes,,,27/3/2014,3,27,2014,20009,Mossberg,Estados Unidos,74,"255,277",12 G.A.,n.a.,Escopeta,
Aguascalientes,,,17/10/2014,10,17,2014,20911,Colt,Estados Unidos,66,"1,503,017",5.56mm,Automática,Carabina,
Aguascalientes,Policia Estatal,,1/4/2015,4,1,2015,21610,Glock,Austria,65,"581,993",9mm,n.a.,Pistola,
Aguascalientes,,Policias municipales,1/4/2015,4,1,2015,21608,Glock,Austria,10,"89,456",9mm,n.a.,Pistola,
Aguascalientes,,Policias municipales,1/4/2015,4,1,2015,21609,Glock,Austria,16,"143,206",9mm,n.a.,Pistola,
Aguascalientes,Policia Estatal,,14/9/2015,9,14,2015,22248,Colt,Estados Unidos,83,"2,331,179",5.56mm,Semi-auto,Carabina,pieza not legible
Aguascalientes,,Policias municipales,14/9/2015,9,14,2015,22246,Colt,Estados Unidos,13,"364,794",5.56mm,Semi-auto,Carabina,pieza not legible
Aguascalientes,,Policias municipales,14/9/2015,9,14,2015,22246,Colt,Estados Unidos,10,"200,865",5.56mm,Semi-auto,Carabina,
Aguascalientes,,,1/9/2016,9,1,2016,23689,Glock,Austria,60,"600,400",9mm,n.a.,Pistola,costo no todo legible
Aguascalientes,,,31/10/2017,10,31,2017,1188,Colt,Estados Unidos,43,"1,532,874",,Semi-auto,Carabina,"calibre, not legible"
Aguascalientes,,Policias municipales,31/10/2017,10,31,2017,1193,Colt,Estados Unidos,5,"178,241",5.56mm,Semi-auto,Carabina,
Aguascalientes,,Policias municipales,31/10/2017,10,31,2017,1193,Glock,Austria,20,"200,147",9mm,n.a.,Pistola,
Aguascalientes,,,31/10/2017,10,31,2017,1197,Bushmaster,Estados Unidos,60,"1,965,390",5.56mm,Semi-auto,Carabina,
Aguascalientes,,,31/10/2017,10,31,2017,1188,Colt,Estados Unidos,26,"926,854",5.56mm,n.a.,Carabina,
Aguascalientes,,,31/10/2017,10,31,2017,1188,Glock,Austria,43,"447,517",9mm,n.a.,Pistola,
Aguascalientes,,,31/10/2017,10,31,2017,1188,Glock,Austria,25,"260,184",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Beretta,Italia,3,"26,116",9mm,Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Beretta,Italia,200,"1,365,469",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Beretta,Italia,100,"641,664",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Bushmaster,Estados Unidos,255,"3,344,063",5.56mm,Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Bushmaster,Estados Unidos,24,"365,970",9mm,Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Colt,Estados Unidos,4,"63,768",5.56mm,Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Glock,Austria,10,"67,526",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Heckler & Koch,Alemania,39,"339,978",7.62mm,Semi-auto,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Mossberg,Estados Unidos,25,"62,225",12 G.A.,n.a.,Escopeta,
Baja California,Consejo Estatal de Seguridad Pública,,25/10/2007,10,25,2007,1623,Walther,Alemania,50,"3,338,435",9mm,Semi-auto,Pistola,
Baja California,Procuraduría General de Justicia,,20/3/2008,3,20,2008,2641,Heckler & Koch,Alemania,68,"547,944",9mm,n.a.,Pistola,
Baja California,Procuraduría General de Justicia,,15/5/2009,5,15,2009,2848,Heckler & Koch,Alemania,74,"596,292",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,24/7/2009,7,24,2009,3125,Heckler & Koch,Alemania,14,"378,411",9mm,Semi-auto,Pistola ametralladora,
Baja California,Consejo Estatal de Seguridad Pública,,24/7/2009,7,24,2009,3125,Beretta,Italia,276,"4,347,010",5.56mm,n.a.,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,24/7/2009,7,24,2009,3125,Bushmaster,Estados Unidos,141,"2,393,779",5.56mm,n.a.,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,24/7/2009,7,24,2009,3125,Colt,Estados Unidos,45,"857,398",,Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,24/7/2009,7,24,2009,3125,Heckler & Koch,Alemania,141,"2,819,623",5.56mm,Semi-auto,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,24/7/2009,7,24,2009,3125,Mossberg,Estados Unidos,122,"382,896",12 G.A.,n.a.,Escopeta,
Baja California,Consejo Estatal de Seguridad Pública,,9/11/2009,11,9,2009,3511,Beretta,Italia,462,"4,016,862",".40""",Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,9/11/2009,11,9,2009,3511,Glock,Austria,419,"3,064,318",".40""",n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,14/12/2009,12,14,2009,3631,Beretta,Italia,6,"134,618",5.56mm,Semi-auto,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,14/12/2009,12,14,2009,3631,Heckler & Koch,Alemania,55,"1,251,880",5.56mm,Automática,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,14/12/2009,12,14,2009,3631,Heckler & Koch,Alemania,15,"461,482",9mm,n.a.,Pistola ametralladora,
Baja California,Secretaria de Seguridad Pública,,14/12/2009,12,14,2009,3630,Colt,Estados Unidos,2,"46,476",5.56mm,n.a.,Carabina,
Baja California,Secretaria de Seguridad Pública,,14/12/2009,12,14,2009,3630,Glock,Austria,10,"73,569",".357"" sig",n.a.,Pistola,
Baja California,Secretaria de Seguridad Pública,,14/12/2009,12,14,2009,3630,Glock,Austria,17,"125,067",9mm,n.a.,Pistola,
Baja California,Secretaria de Seguridad Pública,,14/12/2009,12,14,2009,3630,Heckler & Koch,Alemania,4,"5,237",9mm,n.a.,Pistola ametralladora,
Baja California,Secretaria de Seguridad Pública,,14/12/2009,12,14,2009,3630,Mossberg,Estados Unidos,2,"6,007",12 G.A.,n.a.,Escopeta,
Baja California,Secretaria de Seguridad Pública,,14/12/2009,12,14,2009,3630,Remington,Estados Unidos,1,"8,930",".308"" win",n.a.,Rifle,
Baja California,Procuraduría General de Justicia,,23/3/2010,3,23,2010,3960,Heckler & Koch,Alemania,23,"225,009",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,5/11/2010,11,5,2010,5016,Beretta,Italia,53,"1,310,213",5.56mm,Automática,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,5/11/2010,11,5,2010,5016,Beretta,Italia,133,"3,287,893",5.56mm,Semi-auto,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,5/11/2010,11,5,2010,5016,Beretta,Italia,5,"81,705",5.56mm,Automática,Lanza granadas,
Baja California,Consejo Estatal de Seguridad Pública,,5/11/2010,11,5,2010,5014,Combined Systems,Estados Unidos,22,"316,415",NA,n.a.,Lanzador simple,
Baja California,Procuraduría General de Justicia,,23/11/2010,11,23,2010,5104,Beretta,Italia,23,"597,000",5.56mm,Automática,Fusil,
Baja California,Procuraduría General de Justicia,,23/11/2010,11,23,2010,5104,Sig Sauer,Estados Unidos,20,"213,278",9mm,n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,21/7/2011,7,21,2011,182,Beretta,Italia,17,"24,721",5.56mm,Automática,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,21/7/2011,7,21,2011,183,Beretta,Italia,106,"788,897",".40""",Semi-auto,Pistola,
Baja California,Procuraduría General de Justicia,,21/7/2011,7,21,2011,184,Beretta,Italia,37,"960,520",5.56mm,Automática,Fusil,
Baja California,Procuraduría General de Justicia,,21/7/2011,7,21,2011,184,Sig Sauer,Estados Unidos,50,"423,559",9mm,n.a.,Pistola,
Baja California,Procuraduría General de Justicia,,18/10/2011,10,18,2011,717,Colt,Estados Unidos,11,"51,180",5.56mm,n.a.,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,1/11/2011,11,1,2011,5774,Beretta,Italia,180,"4,449,780",5.56mm,Semi-auto,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,13/1/2012,1,13,2012,1192,Beretta,Italia,60,"1,657,605",5.56mm,Semi-auto,Fusil,
Baja California,Consejo Estatal de Seguridad Pública,,13/1/2012,1,13,2012,1192,Beretta,Italia,50,"408,540",".40""",Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,13/1/2012,1,13,2012,1192,Beretta,Italia,84,"686,374",9mm,Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,13/1/2012,1,13,2012,1192,Glock,Austria,14,"104,291",".40""",n.a.,Pistola,
Baja California,Procuraduría General de Justicia,,13/1/2012,1,13,2012,718,Colt,Estados Unidos,1,"4,968",5.56mm,n.a.,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,9/11/2012,11,9,2012,10454,Glock,Austria,52,"387,367",".40""",n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Beretta,Italia,241,"1,699,532",".40""",Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Beretta,Italia,172,"1,290,627",9mm,Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Beretta,Italia,134,"204,508",5.56mm,Semi-auto,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16400,Beretta,Italia,125,"3,195,438",5.56mm,Semi-auto,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Bushmaster,Estados Unidos,11,"237,010",".223"" rem",Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Colt,Estados Unidos,63,"1,373,463",".223"" rem",Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Colt,Estados Unidos,35,"847,691",5.56mm,Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,7/3/2013,3,7,2013,16399,Glock,Austria,104,"729,495",".40""",n.a.,Pistola,
Baja California,Procuraduría General de Justicia,,7/3/2013,3,7,2013,16402,Colt,Estados Unidos,30,"51,051",5.56mm,n.a.,Rifle,
Baja California,Procuraduría General de Justicia,,7/3/2013,3,7,2013,16401,Colt,Estados Unidos,2,"56,713",".223"" rem",n.a.,Rifle,
Baja California,Procuraduría General de Justicia,,7/3/2013,3,7,2013,16402,Colt,Estados Unidos,10,"51,051",5.56mm,n.a.,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,24/5/2013,5,24,2013,18371,Beretta,Italia,44,"313,461",9mm,Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,2/9/2013,9,2,2013,18938,Beretta,Italia,41,"302,820",9mm,Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,2/9/2013,9,2,2013,18940,Beretta,Italia,140,"3,578,890",5.56mm,Automática,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,2/9/2013,9,2,2013,18935,Bushmaster,Estados Unidos,152,"2,804,315",".223"" rem",Semi-auto,Carabina,
Baja California,Consejo Estatal de Seguridad Pública,,2/9/2013,9,2,2013,18935,Colt,Estados Unidos,7,"198,344",".223"" rem",n.a.,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,2/9/2013,9,2,2013,18935,Glock,Austria,250,"1,773,984",".40""",n.a.,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,4/2/2014,2,4,2014,19706,Beretta,Italia,16,"388,327",5.56mm,Semi-auto,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,4/2/2014,2,4,2014,19708,Beretta,Italia,150,"1,185,751",9mm,Semi-auto,Pistola,
Baja California,Consejo Estatal de Seguridad Pública,,4/2/2014,2,4,2014,19708,Beretta,Italia,150,"4,039,628",5.56mm,Semi-auto,Rifle,
Baja California,Consejo Estatal de Seguridad Pública,,4/2/2014,2,4,2014,19707,Colt,Estados Unidos,3,"85,004",".223"" rem",n.a.,Rifle,
Baja California,,,11/11/2014,11,11,2014,21009,Colt,Estados Unidos,46,"1,132,329",5.56mm,Semi-auto,Carabina,
Baja California,,,11/11/2014,11,11,2014,21009,Colt,Estados Unidos,9,"220,355",5.56mm,Semi-auto,Carabina,
Baja California,,,11/11/2014,11,11,2014,21010,Colt,Estados Unidos,59,"1,436,919",5.56mm,Semi-auto,Carabina,
Baja California,,Policias municipales,17/9/2015,9,17,2015,22270,Beretta,Italia,96,"718,256",9mm,Semi-auto,Pistola,
Baja California,Procuraduria General de Justicia,,21/3/2016,3,21,2016,23061,Colt,Estados Unidos,46,"1,340,629",5.56mm,Semi-auto,Carabina,
Baja California,Secretaria de Seguridad Publica,,21/3/2016,3,21,2016,23058,Colt,Estados Unidos,30,"847,650",5.56mm,Semi-auto,Carabina,
